n;Lince;Edad_Suelta;suelta;Sexo;Nucleo original;Nucleo reprod;Tras;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
2;Ketamina;1;2;H;Matachel Sur;Matachel Sur;0;2;10;12;12;12;12;12;12;12;12;12
4;Kodiak;1;2;H;Matachel Sur;Matachel Sur;0;2;4;4;11;12;12;12;12;12;12;12
6;Kakapo;1;2;H;Matachel Sur;Matachel Sur;0;2;4;4;4;4;4;5;5;4;5;4
15;Luna;1;2;H;Matachel Sur;Montes de Toledo;0;0;2;9;9;9;9;9;9;9;9;9
14;Llerena;1;2;H;Matachel Sur;Ortiga;0;0;2;6;8;7;7;7;7;8;7;7
17;Lechuza;1;2;H;Matachel Sur;Matachel Sur;0;0;2;4;4;4;4;4;4;12;12;12
11;Merida;NA;1;H;Matachel Sur;Matachel Sur;0;0;1;11;12;12;12;12;12;12;12;12
8;Mene;NA;1;H;Matachel Sur;Matachel Sur;0;0;1;2;3;4;4;4;5;4;4;12
32;Maguilla;1;2;H;Matachel Sur;Portugal;0;0;0;2;12;12;12;12;12;9;9;9
36;Maraca;1;2;H;Matachel Sur;Matachel Norte;0;0;0;2;6;7;7;7;7;8;7;7
31;Magacela;1;2;H;Matachel Sur;Matachel Sur;0;0;0;2;3;11;12;12;12;12;12;12
35;Medea;1;2;H;Matachel Sur;Matachel Sur;0;0;0;2;3;5;4;4;4;4;5;11
33;Miera;1;2;H;Matachel Sur;Valdecañas;1;0;0;2;3;5;4;4;4;4;4;4
19;Nauta;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;1;12;12;12;12;12;12;12;12
25;Numancia;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;1;2;3;5;5;5;5;5;5
27;Nube;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;1;2;3;4;4;4;4;4;4
54;Nebulosa;1;2;H;Matachel Sur;Matachel Norte;0;0;0;0;2;7;8;7;7;7;8;12
47;Namibia;1;2;H;Matachel Sur;Sotillo;0;0;0;0;2;6;7;11;12;12;12;12
49;Noz;1;2;H;Matachel Sur;Valdecigüeñas;0;0;0;0;2;6;7;11;12;12;12;12
55;Nevada;1;2;H;Matachel Sur;Matachel Sur;0;0;0;0;2;3;4;4;4;4;4;4
41;O2 Lechuza;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;1;10;12;12;12;12;12;12
43;Ona;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;1;2;4;5;4;5;5;11
44;Ortegana;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;1;2;4;4;10;12;12;12
42;Orellana;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;1;2;3;5;5;4;4;5
79;Osadía;1;2;H;Matachel Sur;Matachel Sur;0;0;0;0;0;2;11;12;12;12;12;12
80;Órbita;1;2;H;Matachel Sur;Matachel Sur;0;0;0;0;0;2;3;10;12;12;12;12
57;Polinia;NA;1;H;Matachel Norte;Matachel Norte;0;0;0;0;0;1;2;12;12;12;12;12
67;Pompeya;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;1;2;4;12;12;12;12
68;Pínea;NA;1;H;Ortiga;Ortiga;0;0;0;0;0;1;2;4;5;11;12;12
