n;Lince;Edad_Suelta;suelta;Sexo;Nucleo original;Nucleo reprod;Tras;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
1;Kais;1;2;M;Matachel Sur;Matachel Sur;0;2;10;10;10;10;10;10;10;10;10;10
3;K2;1;2;M;Matachel Sur;Matachel Sur;0;2;9;10;10;10;10;10;10;10;10;10
5;Kun;1;2;M;Matachel Sur;Matachel Sur;0;2;3;4;4;4;4;4;4;4;8;10
7;Komodo;1;2;M;Matachel Sur;Matachel Sur;0;2;3;4;4;4;4;4;4;4;4;9
18;Jerez;2;2;M;Matachel Sur;Matachel Sur;0;0;3;8;10;10;10;10;10;10;10;10
16;Labrador;1;2;M;Matachel Sur;Ciudad Real;1;0;2;7;7;7;7;7;7;7;7;10
12;Mago;NA;1;M;Matachel Sur;Matachel Sur;0;0;1;10;10;10;10;10;10;10;10;10
13;Marjal;NA;1;M;Matachel Sur;Matachel Sur;0;0;1;10;10;10;10;10;10;10;10;10
10;Matojo;NA;1;M;Matachel Sur;Matachel Sur;0;0;1;9;10;10;10;10;10;10;10;10
9;Matachel;NA;1;M;Matachel Sur;Matachel Sur;0;0;1;2;3;4;4;4;4;4;8;10
29;Fronde;7;2;M;Matachel Sur;Matachel Sur;0;0;0;4;10;10;10;10;10;10;10;10
30;Majadal;1;2;M;Matachel Sur;Matachel Sur;0;0;0;2;10;10;10;10;10;10;10;10
37;Mosto;1;2;M;Ciudad Real;Matachel Sur;1;0;0;2;5;6;6;8;10;10;10;10
38;Menta;1;2;M;Matachel Sur;Matachel Sur;0;0;0;2;3;4;4;4;4;4;4;10
39;Milano;1;2;M;Matachel Sur;Matachel Sur;0;0;0;2;3;4;4;4;4;4;4;4
34;Mayo;1;2;M;Matachel Sur;Matachel Sur;1;0;0;2;3;4;4;4;4;4;4;8
24;Nanuk;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;1;2;8;10;10;10;10;10;10
28;Nabil;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;1;2;3;4;4;4;4;4;4
26;Níscalo;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;1;2;3;4;4;4;4;4;4
50;Neruda;1;2;M;Matachel Sur;Matachel Sur;0;0;0;0;2;8;10;10;10;10;10;10
51;Nitrógeno;1;2;M;Matachel Sur;Matachel Norte;0;0;0;0;2;5;6;8;10;10;10;10
48;Negral;1;2;M;Toledo;Valdecañas;0;0;0;0;2;5;6;6;6;6;6;6
53;Negro;1;2;M;Ortiga;Ortiga;0;0;0;0;2;3;4;4;10;10;10;10
52;Nubero;1;2;M;Matachel Sur;Matachel Sur;0;0;0;0;2;3;4;4;8;10;10;10
40;Okapi;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;1;10;10;10;10;10;10;10
45;Origami;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;1;2;3;4;4;4;4;8
46;Ozono;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;1;2;3;4;4;4;4;4
77;Ogum;1;2;M;Ortiga;Ortiga;0;0;0;0;0;2;8;10;10;10;10;10
78;Oriel;1;2;M;Ortiga;Ortiga;0;0;0;0;0;2;8;10;10;10;10;10
82;Otto;1;2;M;Valdecigüeñas;Matachel Sur;0;0;0;0;0;2;5;6;10;10;10;10
76;Osiris;1;2;M;Ortiga;Matachel Sur;0;0;0;0;0;2;5;6;6;6;6;6
81;Orvalho;1;2;M;Vale do Guadiana;Matachel Sur;0;0;0;0;0;2;5;6;6;6;6;6
58;Picasso;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;1;2;8;10;10;10;10
59;Plutón;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;1;2;8;10;10;10;10
56;Pomelo;NA;1;M;Matachel Norte;Ortiga;0;0;0;0;0;1;2;5;6;6;10;10
74;Potrico;NA;1;M;Matachel Sur;Valdecigüeñas;1;0;0;0;0;1;2;5;6;6;6;6
66;Pardo;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;1;2;3;10;10;10;10
69;Pingüino;NA;1;M;Matachel Norte;Matachel Norte;0;0;0;0;0;1;2;3;4;10;10;10
71;Pichón;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;1;2;3;4;4;4;4
72;Piloto;NA;1;M;Matachel Norte;Matachel Norte;0;0;0;0;0;1;2;3;4;4;4;4
61;Pimentón;NA;1;M;Ortiga;Ortiga;0;0;0;0;0;1;2;3;10;10;10;10
127;Palillo;1;2;M;Ortiga;Matachel Sur;0;0;0;0;0;0;2;10;10;10;10;10
126;Plantago;1;2;M;Valdecañas;Valdecañas;0;0;0;0;0;0;2;8;10;10;10;10
132;Positivo;1;2;M;Matachel Sur;Toledo;1;0;0;0;0;0;2;7;7;7;7;8
84;Querido;NA;1;M;Sotillo;Sotillo;0;0;0;0;0;0;1;10;10;10;10;10
86;Quirite;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;1;10;10;10;10;10
88;Quitapón;NA;1;M;Ortiga;Ortiga;0;0;0;0;0;0;1;10;10;4;4;4
95;Quasimodo;NA;1;M;Matachel Norte;Matachel Norte;0;0;0;0;0;0;1;2;10;10;10;10
96;Quermes;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;1;2;10;10;10;10
99;Quinteto;NA;1;M;Sotillo;Sotillo;0;0;0;0;0;0;1;2;10;10;10;10
100;Quiñazo;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;1;2;10;10;10;10
101;Quizcuate;NA;1;M;Matachel Norte;Matachel Norte;0;0;0;0;0;0;1;2;10;10;10;10
103;Quinhamel;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;1;2;9;10;10;10
106;Quijal;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;1;2;8;10;10;10
107;Quimbombo;NA;1;M;Matachel Norte;Matachel Norte;0;0;0;0;0;0;1;2;8;10;10;10
108;Quimerista;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;1;2;8;10;10;10
90;Quinquenal;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;1;2;8;10;10;10
114;Quebradillo;NA;1;M;Matachel Norte;Matachel Norte;0;0;0;0;0;0;1;2;3;10;10;10
118;Quirguiz;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;1;2;3;4;10;10
123;Quistión;NA;1;M;Ortiga;Ortiga;0;0;0;0;0;0;1;2;3;4;10;8
124;Quejido;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;1;2;3;4;4;9
120;Quilombos;NA;1;M;Valdecañas;Valdecañas;0;0;0;0;0;0;1;2;3;4;4;8
119;Querrequerre;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;1;2;3;4;4;4
121;Quiosquero;NA;1;M;Sotillo;Sotillo;0;0;0;0;0;0;1;2;3;4;4;4
122;Quitado;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;1;2;3;4;4;4
185;Quatipurú;1;2;M;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;2;8;10;10;10
187;Quemacocos;1;2;M;Ortiga;Ortiga;0;0;0;0;0;0;0;2;8;10;10;10
189;Quio;1;2;M;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;2;3;10;10;10
192;Quebracho;1;2;M;Ortiga;Ortiga;0;0;0;0;0;0;0;2;3;4;9;10
191;Quebec;1;2;M;Ibores;Ibores;0;0;0;0;0;0;0;2;3;4;4;9
190;Quimo;1;2;M;Ortiga;Ortiga;0;0;0;0;0;0;0;2;3;4;4;8
139;Ramsés;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;1;10;10;10;10
140;Recio;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;1;10;10;10;10
